timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g
2026-04-13T14:15:19.177319,2,246,1,383,216,0.6472,egg,215,215.0,Large,80
2026-04-13T14:15:19.212887,0,0,18,228,216,0.7591,egg,228,228.0,Large,80
2026-04-13T14:15:19.213073,2,246,1,383,216,0.6472,egg,215,215.0,Large,80
2026-04-13T14:15:19.245753,0,0,18,228,216,0.7591,egg,228,228.0,Large,80
2026-04-13T14:15:19.245907,2,246,1,383,216,0.6472,egg,215,215.0,Large,80
2026-04-13T14:15:20.497394,0,0,19,236,216,0.7882,egg,236,236.0,Large,80
2026-04-13T14:15:20.497602,2,247,1,383,216,0.6693,egg,215,215.0,Large,80
2026-04-13T14:15:20.546013,0,0,19,236,216,0.7882,egg,236,236.0,Large,80
2026-04-13T14:15:20.546216,2,247,1,383,216,0.6693,egg,215,215.0,Large,80
2026-04-13T14:15:20.577890,0,0,19,236,216,0.7882,egg,236,236.0,Large,80
2026-04-13T14:15:20.578056,2,247,1,383,216,0.6693,egg,215,215.0,Large,80
2026-04-13T14:15:21.258927,0,0,6,228,216,0.6925,egg,228,228.0,Large,80
2026-04-13T14:15:21.259152,2,246,1,383,216,0.6638,egg,215,215.0,Large,80
2026-04-13T14:15:21.312586,0,0,6,228,216,0.6925,egg,228,228.0,Large,80
2026-04-13T14:15:21.312780,2,246,1,383,216,0.6638,egg,215,215.0,Large,80
2026-04-13T14:15:21.344451,0,0,6,228,216,0.6925,egg,228,228.0,Large,80
2026-04-13T14:15:21.344589,2,246,1,383,216,0.6638,egg,215,215.0,Large,80
2026-04-13T14:15:22.999738,0,0,0,238,215,0.7,egg,238,238.0,Large,80
2026-04-13T14:15:22.999907,2,246,1,383,216,0.6454,egg,215,215.0,Large,80
2026-04-13T14:15:23.041906,0,0,0,238,215,0.7,egg,238,238.0,Large,80
2026-04-13T14:15:23.042081,2,246,1,383,216,0.6454,egg,215,215.0,Large,80
2026-04-13T14:15:23.077139,0,0,0,238,215,0.7,egg,238,238.0,Large,80
2026-04-13T14:15:23.077305,2,246,1,383,216,0.6454,egg,215,215.0,Large,80
2026-04-13T14:15:23.719106,0,0,0,233,216,0.6916,egg,233,233.0,Large,80
2026-04-13T14:15:23.719313,2,246,1,383,216,0.6321,egg,215,215.0,Large,80
2026-04-13T14:15:23.743489,0,0,0,233,216,0.6916,egg,233,233.0,Large,80
2026-04-13T14:15:23.743569,2,246,1,383,216,0.6321,egg,215,215.0,Large,80
2026-04-13T14:15:23.775536,0,0,0,233,216,0.6916,egg,233,233.0,Large,80
2026-04-13T14:15:23.775690,2,246,1,383,216,0.6321,egg,215,215.0,Large,80
2026-04-13T14:15:24.431814,0,0,6,230,216,0.7557,egg,230,230.0,Large,80
2026-04-13T14:15:24.432024,2,246,1,383,216,0.6317,egg,215,215.0,Large,80
2026-04-13T14:15:24.477289,0,0,6,230,216,0.7557,egg,230,230.0,Large,80
2026-04-13T14:15:24.477499,2,246,1,383,216,0.6317,egg,215,215.0,Large,80
2026-04-13T14:15:24.508687,0,0,6,230,216,0.7557,egg,230,230.0,Large,80
2026-04-13T14:15:24.508870,2,246,1,383,216,0.6317,egg,215,215.0,Large,80
2026-04-13T14:15:26.244361,0,0,19,227,216,0.7783,egg,227,227.0,Large,80
2026-04-13T14:15:26.245265,2,246,1,383,216,0.5733,egg,215,215.0,Large,80
2026-04-13T14:15:26.275523,0,0,19,227,216,0.7783,egg,227,227.0,Large,80
2026-04-13T14:15:26.275719,2,246,1,383,216,0.5733,egg,215,215.0,Large,80
2026-04-13T14:15:26.308476,0,0,19,227,216,0.7783,egg,227,227.0,Large,80
2026-04-13T14:15:26.308649,2,246,1,383,216,0.5733,egg,215,215.0,Large,80
2026-04-13T14:15:28.769751,0,0,1,249,216,0.701,egg,249,249.0,Large,80
2026-04-13T14:15:28.806246,0,0,1,249,216,0.701,egg,249,249.0,Large,80
2026-04-13T14:15:28.837967,0,0,1,249,216,0.701,egg,249,249.0,Large,80
2026-04-13T14:15:31.440753,3,0,8,384,216,0.6211,egg,384,384.0,Large,80
2026-04-13T14:15:31.473581,3,0,8,384,216,0.6211,egg,384,384.0,Large,80
2026-04-13T14:15:31.506916,3,0,8,384,216,0.6211,egg,384,384.0,Large,80
2026-04-13T14:15:34.783712,3,5,7,381,216,0.7438,egg,376,376.0,Large,80
2026-04-13T14:19:35.964422,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:35.965259,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:35.996732,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:35.996813,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.027599,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.027693,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.062368,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.062444,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.094444,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
